mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
11,10,-5,15,0.19564503812544989,0.034295717405987171,2.6145213243364422e-18,0.061996050771625962,0.03119793534420888
11,10,0,-15,0.45553602659470277,0.16133701650998147,3.1025072338616841e-18,0.79566346972273194,-5.4293876592579471e-18
11,10,0,-10,0.36572752669221004,0.10001113047192428,3.1025072338616841e-18,0.53956342289773918,-6.5928278719560787e-18
11,10,0,-5,0.28755482349464562,0.060817644482422419,3.1025072338616841e-18,0.33066221704451221,-6.3989211698397234e-18
11,10,0,0,0.22703162643822808,0.039896877735988344,3.1025072338616841e-18,0.17791674008859815,-6.3080274032226816e-18
11,10,0,5,0.18877652049700372,0.031989281936950296,3.1994605849198617e-18,0.086251313877098543,-6.3019678187815458e-18
11,10,0,10,0.17569445738957795,0.030844749719519816,3.0116134672446426e-18,0.056282108949886368,-6.3080274032226816e-18
11,10,0,15,0.17569445738957795,0.030844749719519816,3.0116134672446426e-18,0.056282108949886368,-6.3080274032226816e-18
11,10,5,-15,0.47336089621216687,0.16379674882291007,6.2050144677233681e-18,0.79576097941895607,-0.03119793534420888
11,10,5,-10,0.38423459276573524,0.1029367017885706,4.6537608507925261e-18,0.54160630017643874,-0.031197935344208887
11,10,5,-5,0.30665569907551099,0.064040934358801219,6.2050144677233681e-18,0.33429193368089644,-0.031197935344208887
11,10,5,0,0.24659224369817939,0.043279084340160041,6.5928278719560787e-18,0.18270673023107351,-0.031197935344208887
11,10,5,5,0.2086277282659568,0.035431555615351329,6.3019678187815458e-18,0.09173760591719711,-0.031197935344208887
11,10,5,10,0.19564503812544998,0.034295717405987185,6.285682685595992e-18,0.061996050771625934,-0.031197935344208887
11,10,5,15,0.19564503812544998,0.034295717405987185,6.285682685595992e-18,0.061996050771625934,-0.031197935344208887
11,10,10,-15,0.51563134128447941,0.16918117392929211,3.1025072338616841e-18,0.79268754511611406,-0.076777121818915203
11,10,10,-10,0.42853089901212088,0.10970448962370358,6.2050144677233681e-18,0.54430985961143175,-0.076777121818915203
11,10,10,-5,0.35271539124251955,0.071692831845347221,3.8781340423271051e-18,0.3417077958780404,-0.076777121818915203
11,10,10,0,0.29401719188416747,0.051402903405726577,6.5928278719560787e-18,0.19356815862313517,-0.076777121818915203
11,10,10,5,0.25691561853337941,0.043733750795950703,5.5263410103161248e-18,0.10466678322131473,-0.076777121818915203
11,10,10,10,0.24422802789631473,0.04262373044774987,5.470573897256294e-18,0.07560126039724771,-0.076777121818915203
11,10,10,15,0.24422802789631473,0.04262373044774987,5.470573897256294e-18,0.07560126039724771,-0.076777121818915203
11,20,-10,-15,1.1737677977070504,0.5766114628314456,1.8615043403170104e-17,1.5397323405778229,0.11272126427708032
11,20,-10,-10,1.0849280116124551,0.4698072745787823,1.551253616930842e-17,1.2205745291225898,0.11272126427708032
11,20,-10,-5,0.99332553224610864,0.38678322589611391,9.3075217015850522e-18,0.92838193712951778,0.11272126427708032
11,20,-10,0,0.90622508997374995,0.32730654159052525,1.2410028935446736e-17,0.67650922064620211,0.11272126427708032
11,20,-10,5,0.83040958220414862,0.28929488381216895,1.0083148510050473e-17,0.475187868670989,0.11272126427708032
11,20,-10,10,0.77171138284579621,0.2690049553725482,1.2022215531214026e-17,0.33091133220367586,0.11272126427708032
11,20,-10,15,0.73460980949500809,0.26133580276277224,1.2313075584388559e-17,0.24607153081129393,0.11272126427708032
11,20,-5,-15,1.1384485417686856,0.56791579557223415,-6.2050144677233681e-18,1.5593585698036345,0.053122062115726176
11,20,-5,-10,1.0475424392620665,0.45862745853037334,9.3075217015850522e-18,1.2327774961724471,0.053122062115726176
11,20,-5,-5,0.95380938625503831,0.37367236113712921,1.2410028935446736e-17,0.93378882356224546,0.053122062115726176
11,20,-5,0,0.86468308280860651,0.31281231410278965,1.2410028935446736e-17,0.6760578227370847,0.053122062115726176
11,20,-5,5,0.78710418911838287,0.27391654667302051,1.1634402126981315e-17,0.47005395595668603,0.053122062115726176
11,20,-5,10,0.72704073374105038,0.25315469665437912,1.1246588722748605e-17,0.3224217048002907,0.053122062115726176
